Series,Observation Date,Observation Value,Unit,Observation Status,Observation Status Comment
Sales of Tractors,30-Sep-23,5445,Number,Normal,","
Sales of Tractors,31-Aug-23,3967,Number,Normal,
Sales of Tractors,31-Jul-23,2678,Number,Normal,
Sales of Tractors,30-Jun-23,2990,Number,Normal,
Sales of Tractors,31-May-23,3508,Number,Normal,
Sales of Tractors,30-Apr-23,3211,Number,Normal,
Sales of Tractors,31-Mar-23,2984,Number,Normal,
Sales of Tractors,28-Feb-23,3330,Number,Normal,
Sales of Tractors,31-Jan-23,3406,Number,Normal,
Sales of Tractors,31-Dec-22,1015,Number,Normal,
Sales of Tractors,30-Nov-22,1240,Number,Normal,
Sales of Tractors,31-Oct-22,1890,Number,Normal,
Sales of Tractors,30-Sep-22,2149,Number,Normal,
Sales of Tractors,31-Aug-22,2965,Number,Normal,
Sales of Tractors,31-Jul-22,2254,Number,Normal,
Sales of Tractors,30-Jun-22,7590,Number,Normal,
Sales of Tractors,31-May-22,4906,Number,Normal,
Sales of Tractors,30-Apr-22,4848,Number,Normal,
Sales of Tractors,31-Mar-22,5651,Number,Normal,
Sales of Tractors,28-Feb-22,4507,Number,Normal,
Sales of Tractors,31-Jan-22,4966,Number,Normal,
Sales of Tractors,31-Dec-21,4476,Number,Normal,
Sales of Tractors,30-Nov-21,4617,Number,Normal,
Sales of Tractors,31-Oct-21,5361,Number,Normal,
Sales of Tractors,30-Sep-21,4377,Number,Normal,
Sales of Tractors,31-Aug-21,3316,Number,Normal,
Sales of Tractors,31-Jul-21,4332,Number,Normal,
Sales of Tractors,30-Jun-21,5018,Number,Normal,
Sales of Tractors,31-May-21,4211,Number,Normal,
Sales of Tractors,30-Apr-21,4501,Number,Normal,
Sales of Tractors,31-Mar-21,5531,Number,Normal,
Sales of Tractors,28-Feb-21,4476,Number,Normal,
Sales of Tractors,31-Jan-21,5247,Number,Normal,
Sales of Tractors,31-Dec-20,3346,Number,Normal,
Sales of Tractors,30-Nov-20,3234,Number,Normal,
Sales of Tractors,31-Oct-20,4552,Number,Normal,
Sales of Tractors,30-Sep-20,4272,Number,Normal,
Sales of Tractors,31-Aug-20,2844,Number,Normal,
Sales of Tractors,31-Jul-20,3613,Number,Normal,
Sales of Tractors,30-Jun-20,5314,Number,Normal,
Sales of Tractors,31-May-20,1851,Number,Normal,
Sales of Tractors,30-Apr-20,2049,Number,Normal,
Sales of Tractors,31-Mar-20,2925,Number,Normal,
Sales of Tractors,29-Feb-20,3141,Number,Normal,
Sales of Tractors,31-Jan-20,2213,Number,Normal,
Sales of Tractors,31-Dec-19,1153,Number,Normal,
Sales of Tractors,30-Nov-19,1825,Number,Normal,
